brand_cn,brand_en,origin,slug,product_count
世界之王,EL REY DEL MUNDO,cuban,el-rey-del-mundo,3
千里达,TRINIDAD,cuban,trinidad,14
卡諾之花,La Flor de Cano,cuban,la-flor-de-cano,5
古巴荣耀,LA GLORIA CUBANA,cuban,la-gloria-cubana,4
外交官,Diplomáticos,cuban,diplomaticos,4
多爾賽碼頭,QUAI DORSAY,cuban,quai-dorsay,8
大衛杜夫,Davidoff,cuban,davidoff-cuban,9
好友,HOYO,cuban,hoyo-de-monterrey,29
威古洛,Vegueros,cuban,vegueros,5
帕特加斯,PARTAGAS,cuban,partagas,33
库阿巴,Cuaba,cuban,cuaba,3
拉斐爾,RAFAEL GONZALEZ,cuban,rafael-gonzalez,4
桑丘潘沙,SANCHO PANZA,cuban,sancho-panza,3
比亞达,JOSE L. PIEDRA,cuban,jose-l-piedra,11
波爾,POR LARRANAGA,cuban,por-larranaga,8
潘趣,PUNCH,cuban,punch,9
烏普曼,H.UPMANN,cuban,h-upmann,19
玻利瓦爾,BOLIVAR,cuban,bolivar,5
罗伯图精選,COMBINACIONES,cuban,combinaciones,3
罗密歐,ROMEO,cuban,romeo-y-julieta,41
罗賓納,VEGAS ROBAINA,cuban,vegas-robaina,2
圣克里斯托,San Cristobal,cuban,san-cristobal,4
圣路易斯.雷伊,Saint Luis Rey,cuban,saint-luis-rey,4
胡安,JUAN LOPEZ,cuban,juan-lopez,7
蒙特,MONTECRISTO,cuban,montecristo,41
豐塞卡,Fonseca,cuban,fonseca,1
金特罗,QUINTERO,cuban,quintero,5
雷蒙,RAMON ALLONES,cuban,ramon-allones,5
高希霸,COHIBA,cuban,cohiba,40
大卫杜夫,Davidoff,non_cuban,davidoff-nc,7
富恩特,Arturo Fuente,non_cuban,arturo-fuente-2,38
帕拉森,Plasencia,non_cuban,plasencia,4
火神,God of Fire,non_cuban,god-of-fire,31
简单,Sencillo,non_cuban,sencillo,9
维佳,VegaFina,non_cuban,vega-fina,7
阿图罗·富恩特,Arturo Fuente,non_cuban,arturo-fuente,4
